VENDOR,SUMMARY,URL,TITLE,FORMAT,PERIOD,ATTACK COUNTS,R/A,D/P,VECTORS,CHANGES END OF 2022,ATTACK DURATION/SIZE,ATTACK INTENSITY,CARPET BOMBING/PREFIX,MULTI-VECTOR,TARGET,VANTAGE POINTS/SOURCES
Huawei,DDoS landscape in 2022,https://e.huawei.com/en/material/networking/security/0c561b8fd2d342999cd402bcecf6d452,Global DDoS Attack Status and Trend Analysis in 2022,Open/PDF,2022,"p16: ""In 2022, Huawei detected 104,922 attacks exceeding 100 Gbps, with an average of 287 attacks per day. The number of attacks at over 100 Gbps is 1.5 times that of 2021 and 2.1 times that of 2020."" With this analysis, the report removes the large number of attacks that are too small to be disruptive.",No information about reflection/amplification attacks.,"p2, p14: ""The largest application-layer attack in the Internet history occurred in June 2022, peaked at 46 million rps""","p3: ""In the past three years, the proportions of ACK flood and UDP flood attacks in network-layer attacks have been increasing year by year."" 
p19: ""In 2022, SYN flood, ACK flood, UDP flood, UDP reflection, and TCP reflection attacks are top 5 network-layer attacks."" Therefore, the fraction of D/P attacks (the three first) is likely higher than that of R/A (the two others).
p19: ""In 2022, ACK flood attacks accounted for 23.16%, 2.1 times that in 2021 and 10.9 times that in 2020. The main reason why the number of ACK flood attacks increases rapidly is that network-layer CC attacks launched by the Mirai botnet are destructive, and hard to be defended against."" The reason mentioned was the increase of botnets, not a reduction in spoofing, though these may be inter-related.","p15-18: Plots by month 2020-2022 show some changes in the period Oct-Dec 2022. However, it is hard to see a meaningful trend.","p3: ""57.40% of network-layer attacks and 40.49% of application-layer attacks last for ≤ 5 minutes""","p2: ""There were 232 attacks above 800 Gbps, 1.67 times that in 2021.""
p2: ""In November, China Telecom's security team detected the attack with the annual maximum bandwidth, which peaked at 3.189 Tbps.""
p2: ""In April, China Telecom's security team detected the attack with the annual highest packet rate, which peaked at 861 Mpps.""","p14: ""The scale of carpet-bombing attacks rapidly increases, with the attacked class C IP address segments surging from 100+ in 2021 to 600+ in 2022. Ultra large-scale attacks pose severe challenges to defense costs.""","p21: ""In 2022, the proportion of multi-vector attacks accounted for 63.47%, which is less than that in 2021."" The bottom plot on the same page shows that in 2022 36% of attacks used 1 vector, while 30% had 5+ vectors.
p6: ""During the 2022 World Cup, DDoS attacks were extremely active. Multiple attacks on payment platforms and APIs occurred in China. ... The entire attack process can be divided into seven phases, and a total of 14 attack vectors were used: UDP flood, spoofed QUIC flood, SYN flood, large SYN flood, SYN flood with real source IP addresses, network-layer CC, NTP reflection, SSDP reflection, DNS reflection, UDP fragment, TCP reflection, ICMP flood, other flood, and application-layer CC (HTTP flood).""","p39: ""API calls currently account for more than 83% of all Internet traffic according to Akamai. Cloudflare claims that 55% of traffic traversing its network is related to APIs. Due to the large quantity of APIs and enterprises' inadequate attention to API security, API attacks have become one of the biggest threats faced by enterprises. Cloudflare also claims that its network security devices block more traffic attacking APIs than that attacking websites. This indicates that APIs have become the main target of network attacks.""
p39: ""Attack Type Distribution. By tracing the DDoS attacks targeting APIs, we find that APIs suffer most of the attacks that have occurred on the Internet. In 2022, the top 5 types of attacks targeting APIs were network-layer CC, SYN flood, UDP flood, HTTP flood, and UDP reflection attacks.""
Note: CC = Challenge Collapsar. CC attacks are mainly used to attack web pages (via invalid requests). 
p39-49: Attacks against APIs. 
p51-72: Attacks against the finance industry.","p77: ""The data involved in this report originates from China Telecom Cybersecurity Technology Co.,Ltd., China Unicom Digital Technology Company Limited, Baidu Security, Nexusguard, Huawei Cloud, and DDoS attack related data from Huawei's customers after authorization."""
Imperva,DDoS landscape in 2022,https://www.imperva.com/resources/resource-library/reports/ddos-threat-landscape-report-2023/,DDoS Threat Landscape Report 2023,Form/PDF,2021-2022,"p9: ""Application Layer DDoS attacks increasing year on year. The number of application layer DDoS attacks has been on an upward trajectory year on year as the chart below shows."" The Y axis does not show values or units, so it is not possible to read the magnitude of the growth, even in relative terms. The same problem applies to other plots on the same page.
The report does not comment about the global number of DDoS attacks, considering all categories.",No information about reflection/amplification attacks.,"p8: ""Application Layer (L7) DDoS attacks increased by a staggering 82% YoY in 2022 vs 2021.""
SYN 21%","This report separates attacks in two classes, Application Layer DDoS Attacks, and Network Layer DDoS Attacks, and presents results separately.
p12: ""Network Layer DDoS most common attack vectors."" According to the pie chart on the same page: UDP 42%, SYN 21%, TCP 11%, DNS response 7.8%, NTP 7.7%.",p8: The bar plot shows monthly Application Layer DDoS attacks. There is some growth in the last three months of 2022.,"p10: ""Application Layer DDoS Attack Duration. Our research shows that Layer 7 DDoS attack duration is becoming longer in duration with almost 40% of all Layer 7 DDoS attacks lasting more than 12 hours, an increase of 33% of attacks in 2021.""
p13: ""Network Layer DDoS attack duration. 66% of all Network Layer DDoS attacks mitigated by Imperva lasted 15 minutes or less in 2022.""
p10, p13: pie charts. L7 attacks longer (40%>12h, 27%<15m) than L3/L4 (66%<15m, 12-24h 1.2%).","p3: ""The largest Layer 3 and 4 DDoS attack occurred in July and peaked at 1373 gigabits per second (Gbps). Layer 3 and 4 attacks rose dramatically in August 2022 in comparison to any other month of the year."" 
p11: ""The largest protocol attack mitigated peaked at 591 million packets per second (Pps).""",No information about attacks with carpet-bombing.,"p11: ""In 2022, almost 73% of all layer 3 and 4 DDoS attacks consisted of a single vector which is in sharp contrast to 2021 when only 21% of attacks were single-vector. This might indicate that DDoS attackers are leveraging single vector attacks as part of a wider attack strategy possibly as a distraction tactic.""","p9: ""Application Layer DDoS attacks growth by industry. Application Layer DDoS attacks on the Telecoms and Internet Services Provider (ISP) sector increased by 250% in 2022 vs 2021. Application Layer DDoS attacks on Financial Services more than doubled in 2022 compared to the previous year’s increase by 121%.""

p12: ""Network Layer DDoS most targeted industries. Financial Services and Banking targets accounted for around 16% of all network layer DDoS attacks in 2022 followed by the Entertainment industry at 8.4%.""

p6: ""Why APIs are a Target for DDoS Attacks. A shift to more modern applications has meant an explosion in the adoption of API endpoints which, as they become more intrinsic to a company's infrastructure, present new opportunities for cybercriminals to cause disruption."" Similar to Huawei's report, there is some emphasis on attacks against APIs.

p5: ""No one is safe from DDoS. In December 2022, it was reported that a DDoS strike on the Vatican website took it offline for several days, possibly the work of Russian activists.""","p3: ""The report leverages intelligence provided by Imperva Threat Research based on data from application and network DDoS attacks we have mitigated. It also provides additional observations based on general DDoS activity throughout the year."""
Kapersky,"DDoS landscape in Q3 2022. Report highlights threat actors and high-profile attacks, but does not describe them. It includes relative/normalised trends and stats.",https://securelist.com/ddos-report-q3-2022/107860/,DDoS attacks in Q3 2022,Open/Web,2022 Q3. No 2022 Q4 report.,"""The number of DDoS attacks in Q3 2022 fell again. Having decreased by 13.72 percent in the previous reporting period relative to the one before, this quarter it dropped by a further 27.29 percent, to 57,116.""

Figure: ""Comparative number of DDoS attacks, Q32021,Q2 and Q3 2022.Q3 2021data is taken as100%. The first thing worth noting is the significant rise in the number of DDoS attacks of all types relative to the previous reporting period."" The attack count in Q3 2022 is 203.66% compared to Q3 2021.",No information about reflection/amplification attacks.,"""The share of UDP flood fell from 62.53 to 51.84 percent, but remained the most common type of DDoS. The second most common, SYN flood, on the contrary, increased its share to 26.96 percent. TCP flood (15.73%) reversed its decline, adding more than 4 percentage points to hold on to third place. GRE flood and HTTP flood made up 3.70 and 1.77 percent, respectively, of the total number of attacks.""
""UDP flood accounted for 51.84 percent of the total number of attacks, and SYN flood for 26.96 percent.""","""In Q3 2022, the ranking of DDoS attack types was unchanged from the previous reporting period.""
""Moreover, DDoS attacks on HTTP(S) this quarter exceeded those on TCP for the first time, despite the latter being easier to organize and still the most common type of DDoS.""
""What’s most interesting is that, in absolute terms, the number of attacks on HTTP(S) has remained quite stable over the past year. The share of attacks on TCP is on a downward curve, which reflects well the general trend: the share of dumb DDoS attacks is falling, while that of smart attacks is growing.""",No plot or table with longitudinal data for the period considered.,"""Attacks lasting less than four hours accounted for 60.65 percent of the total duration of attacks and for 94.29 percent of the total number of attacks.""
""In Q3 2022, sustained attacks of 20 hours or more accounted for 19.05 percent of the total duration of attacks.""
In Q3, 19% of attacks > 20h; 3.16% of attacks 3.16% 5-9 hours.","No information about attack intensity, i.e. peak bandwidth or packet rate of attacks.","""The number of unique targets of DDoS attacks in this report is counted by the number of unique IP addresses in the quarterly statistics."" Carpet bombing attacks would count as many different targets.",No information about the number of vectors in attacks.,"""A total of 39.61 percent of targets, affected by 39.60 percent of attacks, were located in the US.""
""In Q3 2022, the top four countries in terms of resources attacked remained unchanged from the previous reporting period. The US (39.60%) remained in first place, despite losing 6.35 percentage points. Mainland China’s share (13.98%) increased by almost the same amount, up 6.31 percentage points, securing second place. Germany (5.07%) remains in third and France (4.81%) in fourth place.""","""DDoS Intelligence statistics are limited to botnets detected and analyzed by Kaspersky. """
LINK11,DDoS landscape in 2022,https://www.link11.com/en/download/ddos-report-2022/#download-detail-form,DDOS-REPORT 2022,Form/PDF,2022,"p8: ""In 2022, the number of attacks dropped by 79% compared to last year""","p19: ""In 2022, LSOC recorded a flood of amplification techniques. The Internet service most frequently exploited for attacks and abused as an amplifier in 2022 was DNS (60%), followed by NTP (24%), SNPM (4%), and Apple Remote (4%)."" In 2021, DNS was 17%, and NTP, 19%.",No specific information about direct/path attacks and associated vectors.,,p15: Figure shows that B/W peak decreased around Oct-Dec 2022.,"p13: ""The duration of DDoS attacks recorded on the Link11 network in 2022 has shortened compared to the same period last year. While there were significant outliers almost every month, the overall attack duration decreased""
p14: ""Most attacks (71%) lasted less than 5 minutes. One-fifth of all registered attacks (20%) were between 5 and 15 minutes long, and another 8% were up to 60 minutes long. Only about 1% of attacks were longer than 60 minutes.""
Longest attack 28h15m. 71% attacks <5min. 20% 5-15 min. 1% >1h.","p15: ""largest attack in 2022 was stopped at 574 Gbit/s, which is very low compared to 2021."" 
p15: ""While the average number of packets per second was 3.3 million during the review period, the packet rate was significantly lower in 2021.""
p15: ""A look at the correlation between the duration and intensity  of DDoS attacks reveals a change, especially for the first half of  2022: the attacks are simultaneously more intense and shorter""","p15: ""The reason for this is less “carpet bombing” in the attacks registered on the Link11 network. These technically complex DDoS attacks are difficult to detect because they have very low traffic per IP address""","p18: ""The highest number of concurrent vectors observed in the Link11 network was 18, the largest multi-vector attacks observed in Link11‘s network to date.""","No information about targets, such as Industries, regions or countries affected.",No information about sources or methodology used.
Lumen,DDoS landscape in Q4 2022,https://blog.lumen.com/q4-2022-lumen-ddos-quarterly-report/,"Lumen Quarterly
DDoS Report
Q4 2022",Open/PDF,2022,"p7: ""In Q4 2022, Lumen mitigated 9,195 attacks — more than any other quarter in 2021 or 2022. This is a 66% increase from Q3 and a 147% increase year over year.""
However, it could be an increase of 22%, by comparing with the sum of the numbers in the 4 reports of 2021: 6.1k Q1, 4.5k Q2, 5.5k Q3, 9k Q4.","p12: ""DNS amplification attacks became more popular in the second half of 2022 and in Q4 account for 29% of activity, which is a 73% quarterly increase and a drastic spike compared to Q4 2021 when it only accounted for 1% of activity.""","p12: ""TCP SYN Flooding was still used frequently, accounting for 25% of activity, which was a 16% increase from Q3 and an 89% increase from Q4 2021.""","p12: ""Static Filtering accounted for 16% of activity in Q4, which is a 4% decrease quarter-over-quarter."" This seems to be the only report to mention static filtering as a class of attack, but it is actually a mitigation form.",No plot or table with longitudinal data for the period considered.,"p10: ""68% of all attacks on Lumen On-Demand DDoS mitigation customers in Q4 were under 10 minutes.""
See plots on the same page.","p8: ""In the first half of the year, Lumen mitigated several large attacks, including 775 Gbps in Q1 and 1.06 Tbps in Q2. However, the median attack size at those times were rather small (0.19 Mbps and .11 Mbps respectively)."" According to table, in 2022, largest attack was 20% smaller (bps) than 2021.",No information about attacks with carpet-bombing.,"p13: ""We finished out the year with DNS amplification combined with TCP SYN Flooding being the most leveraged multi-vector attack"".","p14: ""Of the 1,000 largest attacks Lumen mitigated, 97% targeted these top five verticals (in order): Telecommunications, Software and Technology, Gaming, Government, and Hosting. ... It is important to note that a single government customer represented 60% of all the attacks Lumen mitigated in Q4""","p5: ""Where does this threat intelligence come from? This report is developed with the participation of a few teams — our DDoS mitigation operations team and our Black Lotus Labs® team work together to come up with insights for our readers. Black Lotus Labs is the threat intelligence team within Lumen. It is made up of a group of security professionals and data scientists whose mission is to leverage Lumen’s global network visibility to both help protect our customers and keep the internet clean. Black Lotus Labs uses threat hunting and analysis, as well as machine learning and automated threat validation, to identify and disrupt the work of malicious actors."""
Microsoft,DDoS landscape in 2022,https://www.microsoft.com/en-us/security/blog/2023/02/21/2022-in-review-ddos-attack-trends-and-insights/,2022 in review: DDoS attack trends and insights,Open/Web,2022,"""In total, we mitigated upwards of 520,000 unique attacks against our global infrastructure during 2022.""","In Figure 2. Attack type, UDP R/A 9%.
""We observed TCP reflected amplification attacks becoming more prevalent, with attacks on Azure resources using diverse types of reflectors and attack vectors. This new attack vector is taking advantage of improper TCP stack implementation in middleboxes, such as firewalls and deep packet inspection devices, to elicit amplified responses that can reach infinite amplification in some cases. As an example, in April 2022, we monitored a reflected amplified SYN+ACK attack on an Azure resource in Asia. The attack reached 30 million packets per second (pps) and lasted 15 seconds. Attack throughput was not very high, however there were 900 reflectors involved, each with retransmissions, resulting in high pps rate that can bring down the host and other network infrastructure.""","""TCP attacks remain the most common attack vector. TCP attacks were the most frequent form of DDoS attack encountered in 2022, comprising 63% of all attack traffic, which includes all TCP attack vectors: TCP SYN, TCP ACK, TCP floods, etc."" The analysis seems to use traffic to rank the prevalence of attacks, not attack count; this would potentially highlight volumetric attacks.
In Figure 2. Attack type, UDP flood 13%.
""Out of UDP flood attacks, spoofed floods consumed most of the attack volume with 53%.""
""Packet anomaly attacks made up 15% of attacks."" It is unclear what kind of packet anomaly the report refers to, but we assume this is invalid headers, such as a TCP packet with no bits on.",UDP 22% of attacks.,"Figure 1. Attack volume shows how the attack volume varies daily throughout the year. Apart from the very end, the volume stays above the average for most of the last quarter.","""Shorter attacks continue to be popular. Shorter duration attacks were more commonly observed this past year, with 89% of attacks lasting less than one hour. Attacks spanning one to two minutes made up 26% of the attacks seen this year. ... Attackers often use multiple short attacks over the span of multiple hours to make the most impact while using the fewest number of resources.""","""In May, we mitigated a 3.25 terabits per second (TBps) attack in Azure, the largest attack in 2022.""",No information about attacks with carpet-bombing.,No information about the number of vectors in attacks.,"""US, India, and East Asia top regions targeted by attacks"" USA represents 45% of attacks, and India, 13%.",No information about sources or methodology used.
NBIP,DDoS landscape in Q4 2022,https://www.nbip.nl/wp-content/uploads/2023/01/NBIP%20-%20Infographic%20-%20DDoS%20data%20-%20Q4%202022%20%5BEN%5D.pdf,DDoS attack figures from the fourth quarter 2022,Open/PDF,2022 Q4,"379 attacks in Q4 2022. 
Bar plot attacks/quarter: 666, 514, 442, 379.","19.6% DNS amplification; 24% NTP amplification; 4.7% LDAP amplification. By comparing the quarterly reports in 2022, we observe that these fractions fluctuate substantially. For example, in Q2, there was 41% of DNS amplification, and Memcached was present with 8%.",Pie chart shows 21.5% TCP flag; 10.3% UDP flood.,,"""A consistent decline in the number of DDoS attacks quarter over quarter, with this trend continuing since the fourth quarter of 2021.""","""Prolonged attacks >4 hours"" 38 in Q4","""Significant DDoS attacks, with large attack sizes (381 Gbps and 364 Mpps).""",No information about attacks with carpet-bombing.,"""The use of multi-vector attacks is on the rise, with an increasing number of attackers attempting to simultaneously overwhelm their victims' networks by utilizing a diverse set of attack methods.""","""Geopolitically, the ongoing conflict in Ukraine has led to an increase in
targeted DDoS attacks on government services and critical infrastructure.
This trend is expected to continue in 2023, with an emphasis on attacks on
the financial, energy, and healthcare sectors.""",No information about sources or methodology used.
NetScout,DDoS landscape in 2H 2022,https://www.netscout.com/threatreport/wp-content/uploads/2023/04/Threat-Report-2H2022.pdf,5th Anniversary DDoS Threat Intelligence Report: Unveiling the New Threat Landcape,Open/PDF,2022 2H,"p3: ""DDoS attacks nearly reached a plateau of 13 million for 2022""","p9: ""Direct-Path DDoS Attacks. ... reflection/amplification attacks declined 18 percent since 2020""
p9: Figure 10: Top 5 Vectors. 1,189,774 DNS amplification, 1,108,008 TCP SYN/ACK Amp","p3: ""It was in early 2021 when we detected a tectonic shift in preference by adversaries to TCP-based, direct-path attacks—a move that carries throughout 2022 and one that organizations and enterprises must address to protect stateful devices and downstream customers.""
p9: ""Direct-Path DDoS Attacks. ... While reflection/amplification attacks declined 18 percent since 2020, direct-path attacks climbed 18 percent over three years, creating a difference of nearly 2 million attacks between them (Figure 12).""
p9: ""HTTP and HTTPS Application-Layer Attacks. ... Based on a sampling of our data set, we witnessed a 487 percent increase in HTTP/HTTPS attacks since 2019 (Figure 11).""
p9: Figure 10: 1,979,785 TCP ACK; 1,349,140 TCP SYN; 1,092,525 TCP RST
p9: ""A form of application-layer attack, DNS query floods have more than tripled since they really became weaponized in 2019, a 243 percent increase in adoption of this attack technique (Figure 14). The average daily attack count for 2022 is approximately 850 attacks, a 67 percent increase over the 522 average in 2021.""",,"p9: Figure 12: Reflection/Amplification vs. Direct-Path Attacks. Shows a split between the amount of Reflection/Amplification attacks and Direct-Path attacks in early 2022, with the Direct-Path being higher.","p3: ""Figure 1: Attack Duration Breakdown (2019–2022)"": 25%<5min, 36% 5-10min, 30% 10-60min, 7% 1-12h","No information about attack intensity, i.e. peak bandwidth or packet rate of attacks.","p10: ""This trend started in November 2021 and really accelerated in August 2022. Daily attacks using this method rose from an average of 670 in 2021 to an average of 1,134 in 2022, a 69 percent increase."" Figure 13: Carpet-Bombing Attacks show the daily attack count.","p3: Figure 2: Multi-vector breakdown. 60% 1 vector, 29% 2-5 vectors, 8% 6-10 vectors, 3% 11+ vectors",p12: DDoS Attack Motivations,"p3: ""More than two decades of working with more than 500 internet service providers (ISPs) has allowed us to build a sensor network that spans more than 50 percent of the world’s largest networks.""
p5: ""Global visibility is key to assessing the DDoS threat landscape. Without visibility, it would be extremely difficult to create a timeline of history, identify trends, and adequately prepare for and defend against network-based attacks such as DDoS. Our global sensor network gives NETSCOUT incredible visibility into the networks around the world, allowing us to see a staggering 401+ Tbps average of internet traffic (Figure 3)—an estimated 50 percent of international transit capacity. That is 3 petabytes or 24.06 petabits of transit per minute!""
p7: ""Enterprise. With 13 million attacks in the ISP networks, we turned our attention to the enterprise, where we gathered data from one-fifth of our enterprise customers and found more than 3,500 events per day or 145 per hour. These events stemmed from high-impact traffic tripping predefined thresholds, creating a denial-of-service (DoS) alert. Not all of these alerts are DDoS attacks; high-throughput scanning also can trip these thresholds. Nonetheless, these events along with GeoIP blocks, application-layer attacks, and inbound brute-forcing/ exploitation resulted in traffic being dropped to downstream users on these networks."""
NexusGuard,DDoS landscape in 2022,https://blog.nexusguard.com/threat-report/ddos-statistical-report-for-2022,DDoS Statistical Report for 2022,Form/PDF,2022,"p3: ""In 2022, the total attack count and average attack size both increased by 115.07% and decreased 22.37% respectively compared to the figures registered in 2021.""","p4: ""⬆︎2,472.03% NTP Amplification Attack"", p6: ""⬆︎28,233.16% Memcached Attack"". These values are too high; we are not confident they are correct. 
p4: Figure 2 - Top 10 Attack Vectors in 2021 and 2022. for the prevalence of attack vectors. NTP 31%, Memcached 14%, DNS Amp 2.34%. 
p7: ""In 2022, NTP Amplification and Memcached Attacks were the predominant two attack types, contributing 31.01% and 14.33% respectively, while UDP Attacks ranked third at 13.21%.""
p9: ""Volumetric (Amplification) attacks, contributing 51.28% of the total attacks recorded in 2022, increased by 414.63% YoY""","p6: ""⬇︎0.23% D/P volumetric flood""
p6: ""⬆︎718% Application attacks""",p7: Types of Attack Vectors. Figure 2,No plot or table with longitudinal data for the period considered.,"p13: ""Over 66% of attacks were shorter than 90 minutes, while the rest lasted longer than 90 minutes. 18.26% of attacks exceeded 1200 minutes. The average attack duration recorded in 2022 was 82.76 minutes, with the longest attack lasting 27642.12 minutes. Both the maximum and average duration increased by 79.40% and fell by 10.42% respectively, YoY.""","p14: ""Attack Size Distribution. Of the attacks recorded in 2022, 88.14% were smaller than 1Gbps. 11.68% ranged between 1Gbps - 10Gbps, and 0.18% were larger than 10Gbps.88.14% <1 Gbps. 0.18% >=10 Gbps."" See Fig. 8.","p15: ""Bit-and-Piece Attacks. ASN-level Communications Service Providers (CSPs) around the world, especially ISPs, continue to be impacted by the stealthy, sophisticated bit-and-piece attacks, which are carried out by drip-feeding doses of junk traffic into a large IP pool."" We believe this description is equivalent to a carpet-bombing attack.
According to Summary 1 - Bit-and-Piece Attacks in 2021 and 2022, Targeted ASNs 240 Total No. of IP Prefixes (Class C) Under Attack 3,079","p11: ""Quantity of Attack Vectors. Single-vector attacks played the leading role in 2022. 85.64% of attacks were single vector, while the rest were multi-vector.""
p12: ""The most commonly used multi-vector attack combination recorded in 2022 was “TCP ACK Attack coupled with UDP Attack”, contributing 18.86%. In second place was a combination of “MEMCACHED Attack and NTP Amplification Attack”, contributing 12.02%. And third place was a combination of “HTTP Flood and HTTPS Flood”, contributing 6.78%.""",p23: Reflected Attack Destination Distribution.,"p26: ""Nexusguard observes and collects real-time data on threats facing enterprise and service-provider networks worldwide. Threat intelligence is gathered via attack data, research, publicly available information, Honeypots, ISPs, and logs recording traffic between attackers and their targets. The analysis conducted by our research team identifies vulnerabilities and measures attack trends worldwide to provide a comprehensive view of DDoS threats."""
Nokia,General security report that includes some DDoS from p16. Not much information,https://www.nokia.com/networks/security-portfolio/threat-intelligence-report/,"Threat Intelligence
Report 2023",Form/PDF,2021-2023,No information about attack counts,No information about reflection/amplification attacks.,No specific information about direct/path attacks and associated vectors.,,"Based on Fig. 9, it looks like there were fewer attacks from Sept 2022 til March 2023 than in the preceding 6 months.",No information about attack duration.,"p16: ""Figure 9. Distribution of DDoS attacks by peak intensity (Gbps), January 2022 – March 2023"" 
There is no explanation of the figure, but we believe there are ~7-8 attacks at the Tbps level.",No information about attacks with carpet-bombing.,No information about the number of vectors in attacks.,Comments about DDoS being used in cyberwarfare.,Nokia Deepfield
NSFocus,DDoS landscape in 2022,https://nsfocusglobal.com/company-overview/resources/2022-global-ddos-attack-landscape-report/,"2022
Global DDoS Attack Landscape Report",Form/PDF,2022,"p1: ""DDoS Attacks Increased Dramatically. The data shows that DDoS attacks in 2022 increased by 273% compared to 2021""","p0: ""About one-third of terabit attacks were reflective UDP attacks, while the rest were mainly non-reflective UDP attacks.""
p6: ""As a popular attack method in the past two years, TCP reflection attacks represented 3%""","p7: ""UDP Fragment Flood Stood Out. In 2022, UDP flood attacks, SYN flood attacks, and UDP fragment flood attacks were top 3 network-layer DDoS attacks.""","p6: Three pizza plots show vector prevalence, but without actual numbers.","Multiple plots show values month-by-month. No discernible effect at the end of the year. On the contrary, high-volume attacks increase in Oct-Nov-Dec.","p8: ""Nearly 70% of global DDoS attacks were shorter than 10 minutes, about 20% lasted 10 to 30 minutes, and the rest exceeded 30 minutes. Currently, ""quick spike"" attacks prevail.""
~70% of attacks <10m, ~20% 10-30m.","p1: ""High-Volume DDoS Attacks Were on the Rise. In 2022, the number of terabit-level DDoS attacks was approximately 40, and the attack peak exceeded 1 Tbps in six months""
p2: ""On average, an attack exceeding 100 Gbps happened every hour.""",No information about attacks with carpet-bombing.,No information about the number of vectors in attacks.,"p5: ""DDoS Attacks Increasingly Targeted Critical Infrastructure""
p4: ""DDoS attacks against a single target became increasingly persistent. 56.91% of victims experienced only one DDoS attack in 2021, whereas victims were more prone to multiple DDoS attacks once identified as the target in 2022.""",No information about sources or methodology used.
Qrator,"Quarterly report about DDoS and BGP incidents, DDoS landscape in 2022 Q4. Report distingues between L3-L4 and L7 attacks.",https://blog.qrator.net/en/q4-2022-ddos-attacks-and-bgp-incidents-report_163/,Q4 2022 DDoS attacks and BGP incidents,Open/Web,2022 Q4,"""In 2022, DDoS attacks increased by 73.09% compared to 2021.""","""Amplificators and Amplification factors in 2022. The data is for 2022 - the number of amplificators/reflectors publicly available on the internet and the average amplification factors we've registered.""
Presents the number of exploitable servers and the corresponding amplification factor, but does not provide information about such attacks.","""In the fourth quarter of 2022, the following attack vectors were prevalent: UDP flood, accounting for 37.05% of all L3-L4 attacks; SYN flood, responsible for 26.84% of volumetric attacks; and IP flood, with a smaller share of 13.8%.""
""UDP flood prevailed as the leading attack vector throughout the year, except for the first quarter of the year, when the SYN Pood was the top technique.""
""In the attack vector statistics without concurrency, we again see the prevalence of the UDP flood, although the proportion is lower than in Q3 when it was 51.79%. The SYN flood has gained the most, rising from 20.37% in Q3 to 41.34% in Q4.""
We note that the numbers presented in the report do not include any form of reflection-amplification.
""Application Layer Attack Distribution. Unlike Q3, the largest category in Q4 2022 is Request Rate Patterns, which includes anything that deviates from what is expected from a legitimate user in terms of request rate, and collected 30.37% of Q4 2022 application layer attacks. It is followed by Rotating Client Secondary Attributes, which refers to an unusual set of headers in the request, and accounts for more than a quarter - 28.05% - of L7 DDoS attacks. That differs from the third category, Abnormal URL Traversal, which is exactly what it sounds like - an action that a legitimate user often wouldn't even be able to perform, where we saw 11.77% of the attack data. Broken HTTP semantics now accounts for ""only"" 6.88% of L7 attacks. The top four categories together account for 77.07% of L7 attacks, with 13.10% in Multiple Matched Criteria, where we put all concurrent L7 attacks.","The diagram ""Attack Vectors Concurrency"" shows a detailed breakdown of vectors. This is more accurate than similar plots in other reports since it represents both isolated and concurrent use of vectors. 
""As we mentioned earlier, the interchange between IP (fragments) flood and UDP flood quarter over quarter is somewhat highly expected. Additionally, we expect this trend to stay in the future. The reason is attackers are trying to improve the overall efficiency of their devices by choosing larger amplification targets (like DNS records), and it is pretty standard that those chunks of data significantly surpass the MTU limit. Thus fragmentation is inevitable."" The example indicates that large DNS responses, likely from amplification, can be reported as IP fragmentation.
""The top-3 vectors combined make 77.69% of all the mitigated attacks""","Diagram ""Record year in DDoS attacks"" shows side-by-side the L3-L4 and L7 attack fractions per quarter. We see that L3-L4 attacks were much smaller in Q4 (13.11%) than other quarters (43.20%, 23.20%, 20.50%). The same reduction in Q4 was not visible in the L7 numbers (quarter fractions were 21.44%, 42.19%, 15.10%, 21.27%).","""Comparing the duration data QoQ, the average attack time has almost doubled - from 1510 seconds in Q3 2022 to 2503 seconds in Q4. However, the median duration decreased for the first time since Q2 2022, from 390 seconds to 210 seconds.""
""But the longest attack in Q4 lasted for 250,500 seconds - more than 69 hours, which is still less than what we've seen during Q2 2022 when one of the attacks lasted more than 100 hours, and especially Q1, when one attack lasted for almost 11 days.""","""On the bandwidth side of the attacks, we see that UDP flood and TCP flood are closer at the maximums - 621.86 Gbps and 480.8 Gbps respectively. However, the difference is much more significant in the median, where the UDP flood shows 1.79 Gbps, which is still more than two times lower than the IP flood median bandwidth of 3.71 Gbps.""
""In Q4 2022, the average attack bandwidth was 9.736 Gbps - the record average bandwidth in 2022. These values only apply to volumetric attacks.""",No information about attacks with carpet-bombing.,"Diagram provides numbers about the concurrent use of vectors, i.e. multi-vector attacks. It should be possible to estimate the fraction of multi-vector attacks from these numbers.","No information about targets, such as Industries, regions or countries affected.",No information about sources or methodology used.
